Gene	Labels	Color
MRPL3	2	blue
MRPL30	21	darkred
MRPL33	9	magenta
MRPL34	11	greenyellow
MRPL36	13	salmon
MRPL37	5	green
MRPL4	2	blue
MRPL40	13	salmon
MRPL41	13	salmon
MRPL43	22	darkgreen
MRPL46	2	blue
MRPL47	9	magenta
MRPL49	35	sienna3
MRPL50	21	darkred
MRPL51	13	salmon
MRPL52	30	steelblue
MRPL54	1	turquoise
MRPL55	11	greenyellow
MRPL9	4	yellow
MRPS10	1	turquoise
MRPS11	10	purple
MRPS12	1	turquoise
MRPS14	34	darkmagenta
MRPS15	1	turquoise
MRPS16	21	darkred
MRPS18A	2	blue
MRPS18B	8	pink
MRPS18C	48	darkslateblue
MRPS2	15	midnightblue
MRPS22	15	midnightblue
MRPS24	11	greenyellow
MRPS26	18	lightgreen
MRPS27	4	yellow
MRPS28	2	blue
MRPS33	2	blue
MRPS34	11	greenyellow
MRPS35	2	blue
MRPS5	6	red
MRPS6	5	green
MRS2	1	turquoise
MRTO4	10	purple
MS4A1	17	grey60
MS4A14	30	steelblue
MS4A2	17	grey60
MS4A3	49	plum2
MS4A4A	41	lightsteelblue1
MS4A6A	2	blue
MS4A6E	37	skyblue3
MS4A7	16	lightcyan
MSC	2	blue
MSH2	45	darkorange2
MSH3	1	turquoise
MSH5	8	pink
MSH5-SAPCD1	8	pink
MSI1	4	yellow
MSI2	1	turquoise
MSLN	6	red
MSLNL	17	grey60
MSN	4	yellow
MSR1	2	blue
MSRB2	1	turquoise
MSRB3	1	turquoise
MSS51	4	yellow
MST1	2	blue
MST1R	3	brown
MSTN	4	yellow
MSTO1	7	black
MSX1	3	brown
MSX2	9	magenta
MT1A	45	darkorange2
MT1E	19	lightyellow
MT1F	19	lightyellow
MT1G	19	lightyellow
MT1H	2	blue
MT1M	19	lightyellow
MT1X	2	blue
MT2A	6	red
MT3	33	darkolivegreen
MTA1	7	black
MTA2	4	yellow
MTA3	2	blue
MTBP	1	turquoise
MTCH1	1	turquoise
MTCP1	5	green
MTDH	1	turquoise
MTF1	6	red
MTF2	1	turquoise
MTFMT	15	midnightblue
MTFP1	6	red
MTFR1	6	red
MTHFD1	7	black
MTHFD1L	1	turquoise
MTHFD2	1	turquoise
MTHFD2L	13	salmon
MTHFR	2	blue
MTHFS	9	magenta
MTIF2	12	tan
MTMR1	1	turquoise
MTMR11	20	royalblue
MTMR14	1	turquoise
MTMR2	1	turquoise
MTMR3	1	turquoise
MTMR4	2	blue
MTMR6	1	turquoise
MTMR7	1	turquoise
MTMR8	2	blue
MTNR1B	25	orange
MTO1	7	black
MTOR	7	black
MTPAP	20	royalblue
MTR	1	turquoise
MTRF1L	5	green
MTRNR2L4	48	darkslateblue
MTRNR2L8	20	royalblue
MTSS1	1	turquoise
MTTP	44	floralwhite
MTUS1	6	red
MTX1	7	black
MTX2	2	blue
MUC1	2	blue
MUC12	1	turquoise
MUC13	3	brown
MUC15	13	salmon
MUC16	4	yellow
MUC20	6	red
MUC4	11	greenyellow
MUC5B	14	cyan
MUC6	14	cyan
MUS81	18	lightgreen
MUSK	9	magenta
MUSTN1	5	green
MUTYH	5	green
MVD	1	turquoise
MVK	3	brown
MX1	5	green
MX2	5	green
MXD1	2	blue
MXD3	7	black
MXD4	7	black
MXI1	1	turquoise
MXRA5	25	orange
MXRA7	9	magenta
MXRA8	2	blue
MYADM	7	black
MYADML2	4	yellow
MYBBP1A	7	black
MYBL1	4	yellow
MYBL2	5	green
MYBPH	3	brown
MYC	7	black
MYCBP	2	blue
MYCBP2	15	midnightblue
MYCBPAP	42	lightcyan1
MYCN	2	blue
MYCT1	3	brown
MYD88	1	turquoise
MYEF2	3	brown
MYH10	2	blue
MYH11	1	turquoise
MYH14	3	brown
MYH2	24	darkgrey
MYH3	6	red
MYH6	40	mediumpurple3
MYH7	24	darkgrey
MYL10	2	blue
MYL12A	5	green
MYL12B	5	green
MYL3	6	red
MYL4	2	blue
MYL6	13	salmon
MYL6B	13	salmon
MYL7	2	blue
MYL9	13	salmon
MYLIP	1	turquoise
MYLK	1	turquoise
MYLK2	2	blue
MYLK3	9	magenta
MYLPF	21	darkred
MYO10	1	turquoise
MYO15A	1	turquoise
MYO16	1	turquoise
MYO18A	1	turquoise
MYO19	12	tan
MYO1A	46	brown4
MYO1B	1	turquoise
MYO1E	15	midnightblue
MYO1F	6	red
MYO1G	1	turquoise
MYO1H	8	pink
MYO3A	4	yellow
MYO5A	5	green
MYO5B	3	brown
MYO5C	3	brown
MYO7A	1	turquoise
MYO7B	2	blue
MYO9A	1	turquoise
MYO9B	6	red
MYOC	3	brown
MYOCD	4	yellow
MYOF	7	black
MYOM1	39	orangered4
MYOM2	3	brown
MYOM3	32	violet
MYOT	4	yellow
MYOZ1	17	grey60
MYOZ2	9	magenta
MYRIP	3	brown
MYT1	44	floralwhite
MYT1L	2	blue
MYZAP	1	turquoise
MZB1	10	purple
MZF1	28	skyblue
MZT1	1	turquoise
MZT2A	6	red
MZT2B	13	salmon
N4BP2	1	turquoise
N4BP2L1	12	tan
N4BP3	2	blue
N6AMT1	2	blue
NAA10	6	red
NAA11	2	blue
NAA15	1	turquoise
NAA16	1	turquoise
NAA20	5	green
NAA35	1	turquoise
NAA38	21	darkred
NAA40	1	turquoise
NAA50	13	salmon
NAA60	6	red
NAALAD2	4	yellow
NAALADL2	13	salmon
NAB1	1	turquoise
NAB2	41	lightsteelblue1
NACA2	8	pink
NACAD	4	yellow
NADK	20	royalblue
NAE1	1	turquoise
NAGK	19	lightyellow
NAGS	5	green
NAIP	19	lightyellow
NAMPT	5	green
NANOS1	17	grey60
NANOS2	9	magenta
NANP	18	lightgreen
NAP1L1	7	black
NAP1L3	21	darkred
NAP1L5	1	turquoise
NAPB	2	blue
NAPEPLD	6	red
NAPSA	16	lightcyan
NARS2	2	blue
NAT1	1	turquoise
NAT14	1	turquoise
NAT16	42	lightcyan1
NAT8	3	brown
NAT9	7	black
NAV1	2	blue
NAV2	2	blue
NAV3	2	blue
NBAS	1	turquoise
NBEA	6	red
NBEAL1	1	turquoise
NBEAL2	1	turquoise
NBL1	41	lightsteelblue1
NBN	21	darkred
NBPF1	16	lightcyan
NBPF10	1	turquoise
NBPF11	1	turquoise
NBPF14	1	turquoise
NBPF15	1	turquoise
NBPF3	4	yellow
NBPF4	2	blue
NBPF9	1	turquoise
NBR1	22	darkgreen
NCALD	3	brown
NCAM1	4	yellow
NCAM2	9	magenta
NCAPD2	7	black
NCAPD3	7	black
NCAPG	9	magenta
NCAPH	4	yellow
NCAPH2	7	black
NCBP1	1	turquoise
NCCRP1	6	red
NCDN	2	blue
NCEH1	5	green
NCF1	6	red
NCF2	2	blue
NCF4	6	red
NCK1	5	green
NCKAP1	1	turquoise
NCKAP1L	41	lightsteelblue1
NCKAP5	9	magenta
NCKAP5L	2	blue
NCL	1	turquoise
NCOA1	1	turquoise
NCOA2	1	turquoise
NCOA3	8	pink
NCOA4	1	turquoise
NCOA5	4	yellow
NCOA6	30	steelblue
NCOA7	5	green
NCOR1	1	turquoise
NCR1	4	yellow
NCR2	43	ivory
NCR3	8	pink
NCS1	2	blue
NCSTN	2	blue
NDC80	4	yellow
NDE1	21	darkred
NDEL1	2	blue
NDFIP1	1	turquoise
NDFIP2	1	turquoise
NDN	13	salmon
NDNF	3	brown
NDOR1	7	black
NDP	4	yellow
NDRG1	5	green
NDRG2	3	brown
NDRG4	4	yellow
NDST1	2	blue
NDST2	1	turquoise
NDST3	25	orange
NDUFA1	13	salmon
NDUFA10	7	black
NDUFA11	6	red
NDUFA13	1	turquoise
NDUFA2	10	purple
NDUFA3	1	turquoise
NDUFA4	12	tan
NDUFA4L2	2	blue
NDUFA5	1	turquoise
NDUFA6	2	blue
NDUFA7	8	pink
NDUFA9	22	darkgreen
NDUFAB1	13	salmon
NDUFAF3	13	salmon
NDUFAF4	7	black
NDUFB1	13	salmon
NDUFB10	45	darkorange2
NDUFB11	13	salmon
NDUFB2	13	salmon
NDUFB3	9	magenta
NDUFB6	22	darkgreen
NDUFB7	10	purple
NDUFC1	9	magenta
NDUFC2	6	red
NDUFS1	1	turquoise
NDUFS2	18	lightgreen
NDUFS3	13	salmon
NDUFS5	13	salmon
NDUFS6	1	turquoise
NDUFS7	5	green
NDUFS8	1	turquoise
NDUFV2	14	cyan
NEB	15	midnightblue
NEBL	3	brown
NECAB2	4	yellow
NECAB3	10	purple
NECAP1	1	turquoise
NEDD1	1	turquoise
NEDD4	1	turquoise
NEDD4L	21	darkred
NEDD8	3	brown
NEDD8-MDP1	36	yellowgreen
NEDD9	3	brown
NEFH	47	bisque4
NEFL	37	skyblue3
NEFM	1	turquoise
NEGR1	1	turquoise
NEIL1	3	brown
NEIL3	4	yellow
NEK11	14	cyan
NEK2	4	yellow
NEK3	1	turquoise
NEK4	20	royalblue
NEK5	18	lightgreen
NEK6	1	turquoise
NEK7	1	turquoise
NEK8	2	blue
NEK9	1	turquoise
NELL2	17	grey60
NEMF	2	blue
NENF	13	salmon
NES	7	black
NET1	2	blue
NETO1	39	orangered4
NETO2	4	yellow
NEU1	8	pink
NEU3	19	lightyellow
NEU4	44	floralwhite
NEURL1B	4	yellow
NEURL2	8	pink
NEURL4	28	skyblue
NEUROD2	23	darkturquoise
NEUROG3	3	brown
NEXN	2	blue
NF2	2	blue
NFAM1	2	blue
NFASC	9	magenta
NFAT5	1	turquoise
NFATC1	1	turquoise
NFATC2	6	red
NFATC2IP	21	darkred
NFATC4	4	yellow
NFE2L2	1	turquoise
NFE2L3	2	blue
NFIB	3	brown
NFIC	6	red
NFIL3	2	blue
NFIX	47	bisque4
NFKB2	6	red
NFKBIA	1	turquoise
NFKBID	2	blue
NFKBIE	6	red
NFKBIL1	8	pink
NFKBIZ	1	turquoise
NFS1	7	black
NFXL1	2	blue
NFYA	1	turquoise
NFYB	2	blue
NGEF	3	brown
NGF	2	blue
NGFR	5	green
NGLY1	2	blue
NHEJ1	16	lightcyan
NHLRC2	6	red
NHLRC3	1	turquoise
NHP2	10	purple
NHSL1	3	brown
NHSL2	3	brown
NID1	28	skyblue
NID2	5	green
NIN	2	blue
NINJ1	16	lightcyan
NINJ2	1	turquoise
NINL	10	purple
NIP7	20	royalblue
NIPA1	1	turquoise
NIPA2	6	red
NIPAL1	2	blue
NIPAL2	5	green
NIPAL3	1	turquoise
NIPAL4	2	blue
NIPBL	10	purple
NIPSNAP1	6	red
NIPSNAP3A	1	turquoise
NIPSNAP3B	6	red
NISCH	1	turquoise
NIT1	12	tan
NKAIN1	9	magenta
NKAIN3	2	blue
NKAIN4	17	grey60
NKD1	9	magenta
NKD2	10	purple
NKG7	4	yellow
NKIRAS1	8	pink
NKIRAS2	1	turquoise
NKRF	2	blue
NKTR	1	turquoise
NKX2-3	31	paleturquoise
NKX3-1	2	blue
NKX3-2	4	yellow
NKX6-1	31	paleturquoise
NLE1	7	black
NLGN1	1	turquoise
NLGN2	19	lightyellow
NLGN3	2	blue
NLGN4X	2	blue
NLGN4Y	46	brown4
NLK	1	turquoise
NLRC3	3	brown
NLRC4	8	pink
NLRC5	1	turquoise
NLRP1	6	red
NLRP11	46	brown4
NLRP12	17	grey60
NLRP2	2	blue
NLRP3	45	darkorange2
NLRP4	42	lightcyan1
NLRP5	44	floralwhite
NLRP6	17	grey60
NLRP7	17	grey60
NLRP9	3	brown
NMB	13	salmon
NMD3	1	turquoise
NME1	13	salmon
NME1-NME2	6	red
NME2	10	purple
NME3	11	greenyellow
NME5	6	red
NME9	17	grey60
NMNAT2	17	grey60
NMNAT3	6	red
NMRAL1	13	salmon
NMT2	6	red
NMU	14	cyan
NMUR1	4	yellow
NMUR2	3	brown
NNAT	8	pink
NNMT	6	red
NNT	3	brown
NOA1	35	sienna3
NOB1	7	black
NOC2L	1	turquoise
NOC4L	1	turquoise
NOD1	12	tan
NOD2	23	darkturquoise
NODAL	49	plum2
NOG	2	blue
NOL11	1	turquoise
NOL12	5	green
NOL3	28	skyblue
NOL6	2	blue
NOL8	6	red
NOLC1	1	turquoise
NOMO1	1	turquoise
NOMO2	5	green
NOMO3	18	lightgreen
NOP16	16	lightcyan
NOP2	1	turquoise
NOP56	1	turquoise
NOP58	1	turquoise
NOS1	25	orange
NOS1AP	5	green
NOS2	2	blue
NOS3	6	red
NOSIP	1	turquoise
NOSTRIN	2	blue
NOTCH1	6	red
NOTCH2	1	turquoise
NOTCH3	7	black
NOTCH4	8	pink
NOTUM	2	blue
NOVA1	4	yellow
NOVA2	3	brown
NOX1	14	cyan
NOX4	22	darkgreen
NOX5	26	darkorange
NOXA1	1	turquoise
NOXRED1	20	royalblue
NPAS1	9	magenta
NPAS2	6	red
NPAS4	4	yellow
NPAT	1	turquoise
NPC1	2	blue
NPC1L1	14	cyan
NPC2	9	magenta
NPDC1	2	blue
NPFFR2	2	blue
NPHP1	2	blue
NPHP3	2	blue
NPHS1	4	yellow
NPL	2	blue
NPM2	12	tan
NPM3	4	yellow
NPNT	3	brown
NPPA	8	pink
NPPB	39	orangered4
NPPC	26	darkorange
NPR1	19	lightyellow
NPR2	12	tan
NPR3	3	brown
NPRL2	12	tan
NPRL3	1	turquoise
NPTN	1	turquoise
NPTX1	17	grey60
NPTX2	6	red
NPTXR	1	turquoise
NPW	2	blue
NPY	37	skyblue3
NPY1R	2	blue
NQO1	5	green
NQO2	13	salmon
NR0B2	14	cyan
NR1D1	41	lightsteelblue1
NR1D2	6	red
NR1H3	5	green
NR1H4	39	orangered4
NR1I2	26	darkorange
NR2C2	1	turquoise
NR2F1	7	black
NR2F2	1	turquoise
NR2F6	6	red
NR3C1	34	darkmagenta
NR3C2	3	brown
NR4A1	5	green
NR4A2	41	lightsteelblue1
NR4A3	5	green
NR5A2	3	brown
NR6A1	2	blue
NRARP	3	brown
NRBP1	2	blue
NRBP2	30	steelblue
NRCAM	3	brown
NREP	6	red
NRG1	2	blue
NRG2	9	magenta
NRG3	42	lightcyan1
NRG4	25	orange
NRGN	29	saddlebrown
NRIP1	2	blue
NRK	2	blue
NRM	8	pink
NRN1L	18	lightgreen
NRP1	1	turquoise
NRP2	1	turquoise
NRSN1	3	brown
NRSN2	2	blue
NRTN	14	cyan
NRXN1	14	cyan
NRXN2	5	green
NRXN3	4	yellow
NSA2	1	turquoise
NSDHL	10	purple
NSF	8	pink
NSL1	30	steelblue
NSMCE1	13	salmon
NSMCE4A	12	tan
NSRP1	1	turquoise
NSUN2	21	darkred
NSUN4	1	turquoise
NSUN5	10	purple
NSUN6	2	blue
NSUN7	3	brown
NT5C	10	purple
NT5C1B	23	darkturquoise
NT5C2	15	midnightblue
NT5DC1	1	turquoise
NT5DC2	16	lightcyan
NT5E	2	blue
NT5M	5	green
NTF3	2	blue
NTF4	2	blue
NTHL1	1	turquoise
NTM	4	yellow
NTN1	1	turquoise
NTN3	14	cyan
NTN4	2	blue
NTN5	16	lightcyan
NTNG1	26	darkorange
NTNG2	5	green
NTPCR	18	lightgreen
NTRK1	1	turquoise
NTRK2	3	brown
NTRK3	26	darkorange
NTSR1	33	darkolivegreen
NUAK1	1	turquoise
NUAK2	2	blue
NUBP1	1	turquoise
NUBP2	11	greenyellow
NUCB2	19	lightyellow
NUCKS1	1	turquoise
NUDCD3	28	skyblue
NUDT1	1	turquoise
NUDT10	3	brown
NUDT11	1	turquoise
NUDT12	5	green
NUDT13	12	tan
NUDT14	2	blue
NUDT16	1	turquoise
NUDT16L1	34	darkmagenta
NUDT17	12	tan
NUDT18	1	turquoise
NUDT2	13	salmon
NUDT21	1	turquoise
NUDT3	10	purple
NUDT4	6	red
NUDT6	15	midnightblue
NUDT7	6	red
NUDT8	1	turquoise
NUDT9	29	saddlebrown
NUMA1	7	black
NUMB	8	pink
NUMBL	7	black
NUP107	1	turquoise
NUP133	1	turquoise
NUP153	1	turquoise
NUP155	7	black
NUP188	1	turquoise
NUP205	5	green
NUP210	4	yellow
NUP214	27	white
NUP35	1	turquoise
NUP43	1	turquoise
NUP50	1	turquoise
NUP62CL	4	yellow
NUP85	7	black
NUP98	20	royalblue
NUPR1	19	lightyellow
NUSAP1	24	darkgrey
NVL	7	black
NWD1	3	brown
NXF3	4	yellow
NXN	15	midnightblue
NXNL1	25	orange
NXNL2	2	blue
NXPH3	4	yellow
NXT1	4	yellow
NXT2	1	turquoise
NYAP1	25	orange
NYX	23	darkturquoise
OAF	11	greenyellow
OAS1	5	green
OAS2	5	green
OAS3	5	green
OASL	5	green
OAT	1	turquoise
OAZ1	13	salmon
OAZ3	8	pink
OBP2A	30	steelblue
OBP2B	4	yellow
OBSCN	7	black
OBSL1	29	saddlebrown
OCA2	14	cyan
OCEL1	6	red
OCIAD1	1	turquoise
OCIAD2	4	yellow
OCLN	3	brown
OCM	1	turquoise
ODC1	1	turquoise
ODF2	7	black
ODF2L	2	blue
ODF3	36	yellowgreen
ODF3B	6	red
ODF3L1	42	lightcyan1
ODF3L2	2	blue
ODF4	23	darkturquoise
OFD1	28	skyblue
OGDHL	3	brown
OGFOD1	1	turquoise
OGFOD2	1	turquoise
OGFRL1	4	yellow
OGG1	38	plum1
OGN	5	green
OGT	1	turquoise
OIP5	4	yellow
OLFM1	1	turquoise
OLFM2	1	turquoise
OLFM3	14	cyan
OLFM4	25	orange
OLFML1	2	blue
OLFML2A	3	brown
OLFML2B	15	midnightblue
OLFML3	2	blue
OLIG2	46	brown4
OLIG3	3	brown
OLR1	17	grey60
OMA1	6	red
OMD	28	skyblue
OMP	10	purple
OOEP	2	blue
OPA3	2	blue
OPCML	4	yellow
OPLAH	1	turquoise
OPN3	2	blue
OPRK1	2	blue
OPRL1	43	ivory
OPTC	14	cyan
OPTN	5	green
OR10A3	4	yellow
OR10A6	31	paleturquoise
OR10AD1	33	darkolivegreen
OR10H1	31	paleturquoise
OR13J1	4	yellow
OR1B1	24	darkgrey
OR1F1	4	yellow
OR1J1	14	cyan
OR1J2	17	grey60
OR1J4	17	grey60
OR1Q1	10	purple
OR2A1	3	brown
OR2A14	32	violet
OR2A4	44	floralwhite
OR2A7	1	turquoise
OR2AE1	1	turquoise
OR2AG1	14	cyan
OR2AT4	2	blue
OR2C3	24	darkgrey
OR2G6	33	darkolivegreen
OR2K2	37	skyblue3
OR2T2	31	paleturquoise
OR2W3	25	orange
OR2Z1	24	darkgrey
OR3A2	3	brown
OR3A3	2	blue
OR4D1	42	lightcyan1
OR51B5	23	darkturquoise
OR51E1	17	grey60
OR51E2	36	yellowgreen
OR52E6	26	darkorange
OR52I1	25	orange
OR52I2	23	darkturquoise
OR52N1	26	darkorange
OR56B4	31	paleturquoise
OR5K2	32	violet
OR6V1	14	cyan
OR7D2	39	orangered4
OR8G5	4	yellow
OR9A4	24	darkgrey
ORAI2	6	red
ORAI3	12	tan
ORC1	4	yellow
ORC2	18	lightgreen
ORC3	2	blue
ORM1	14	cyan
ORM2	4	yellow
ORMDL2	11	greenyellow
OS9	22	darkgreen
OSBP	1	turquoise
OSBP2	9	magenta
OSBPL10	3	brown
OSBPL11	1	turquoise
OSBPL1A	1	turquoise
OSBPL2	7	black
OSBPL3	4	yellow
OSBPL5	4	yellow
OSBPL7	14	cyan
OSBPL8	5	green
OSCAR	2	blue
OSCP1	2	blue
OSGEPL1	12	tan
OSGIN1	28	skyblue
OSGIN2	21	darkred
OSM	41	lightsteelblue1
OSMR	1	turquoise
OSR1	3	brown
OSR2	7	black
OST4	30	steelblue
OSTF1	5	green
OSTM1	5	green
OTOA	23	darkturquoise
OTOF	4	yellow
OTOGL	44	floralwhite
OTOP2	26	darkorange
OTUB1	22	darkgreen
OTUB2	6	red
OTUD1	1	turquoise
OTUD3	2	blue
OTUD4	1	turquoise
OTUD7A	48	darkslateblue
OTUD7B	1	turquoise
OTX2	24	darkgrey
OVCH1	24	darkgrey
OVCH2	17	grey60
OVGP1	30	steelblue
OVOL1	2	blue
OVOL2	9	magenta
OXA1L	13	salmon
OXCT1	6	red
OXCT2	2	blue
OXER1	36	yellowgreen
OXGR1	2	blue
OXNAD1	28	skyblue
OXR1	1	turquoise
OXSM	22	darkgreen
OXT	2	blue
OXTR	6	red
P2RX1	17	grey60
P2RX2	4	yellow
P2RX3	43	ivory
P2RX4	2	blue
P2RX5	23	darkturquoise
P2RX5-TAX1BP3	15	midnightblue
P2RX6	4	yellow
P2RX7	1	turquoise
P2RY1	6	red
P2RY11	19	lightyellow
P2RY12	2	blue
P2RY13	2	blue
P2RY14	3	brown
P2RY2	17	grey60
P2RY4	17	grey60
P2RY6	2	blue
P4HA1	1	turquoise
P4HA2	2	blue
P4HA3	9	magenta
P4HB	19	lightyellow
P4HTM	2	blue
PA2G4	7	black
PAAF1	2	blue
PABPC1L	2	blue
PABPC4L	3	brown
PABPC5	4	yellow
PACRG	6	red
PACS1	1	turquoise
PACS2	5	green
PACSIN1	3	brown
PACSIN2	1	turquoise
PACSIN3	1	turquoise
PADI1	2	blue
PADI2	24	darkgrey
PADI6	46	brown4
PAEP	18	lightgreen
PAF1	34	darkmagenta
PAFAH1B1	1	turquoise
PAFAH1B2	2	blue
PAFAH1B3	6	red
PAG1	2	blue
PAGE2	40	mediumpurple3
PAGE2B	24	darkgrey
PAGE4	5	green
PAICS	7	black
PAIP2B	3	brown
PAK1	2	blue
PAK1IP1	7	black
PAK3	4	yellow
PAK4	34	darkmagenta
PAK6	4	yellow
PALB2	30	steelblue
PALLD	1	turquoise
PALM	4	yellow
