Gene	Labels	Color
KCND2	1	turquoise
KCNE1	18	lightgreen
KCNE3	2	blue
KCNE4	1	turquoise
KCNF1	29	saddlebrown
KCNG1	38	plum1
KCNG2	3	brown
KCNG3	3	brown
KCNH1	2	blue
KCNH2	16	lightcyan
KCNIP2	1	turquoise
KCNIP3	35	sienna3
KCNJ11	1	turquoise
KCNJ13	23	darkturquoise
KCNJ14	1	turquoise
KCNJ15	2	blue
KCNJ2	2	blue
KCNJ3	11	greenyellow
KCNJ5	1	turquoise
KCNJ8	5	green
KCNK1	26	darkorange
KCNK12	16	lightcyan
KCNK13	2	blue
KCNK15	0	grey
KCNK3	1	turquoise
KCNK5	10	purple
KCNK6	7	black
KCNK7	1	turquoise
KCNMA1	14	cyan
KCNMB2	11	greenyellow
KCNMB3	7	black
KCNMB4	15	midnightblue
KCNN1	17	grey60
KCNN2	25	orange
KCNN4	17	grey60
KCNQ1	5	green
KCNQ4	1	turquoise
KCNQ5	5	green
KCNRG	7	black
KCNS1	5	green
KCNS2	1	turquoise
KCNS3	15	midnightblue
